date,campaign_id,platform,ad_type,campaign_objective,target_region,target_age_group,target_gender,impressions,clicks,ctr_percent,spend_usd,cpc_usd,cpm_usd,conversions,conversion_rate_percent,roi,likes,shares,comments,engagement_rate_percent,Year,Month,Day,Quarter,Day_of_Week,Total_Engagement,Cost_Per_Conversion,High_ROI,High_Engagement
2023-09-16,CMP1261,Google Ads,Banner,Engagement,Europe,55+,Female,4476,55,1.243,135.85,2.47,30.35,2,4.6,1.86,211,20,14,5.474,2023,9,16,3,Saturday,245,67.925,1,1
2024-08-09,CMP1589,LinkedIn,Banner,Brand Awareness,Asia,45-54,Male,6973,158,2.267,74.26,0.47,10.65,9,5.84,2.07,283,41,40,5.22,2024,8,9,3,Friday,364,8.251111111111111,1,1
2023-01-12,CMP1013,Twitter/X,Carousel,Lead Generation,Africa,13-17,Other,4725,66,1.413,110.88,1.68,23.47,1,1.64,-0.1,231,32,8,5.735,2023,1,12,1,Thursday,271,110.88,0,1
2023-08-23,CMP1234,LinkedIn,Search,Engagement,Europe,25-34,Female,8959,186,2.086,184.14,0.99,20.55,9,5.24,2.38,154,16,8,1.987,2023,8,23,3,Wednesday,178,20.459999999999997,1,0
2023-09-13,CMP1259,YouTube,Search,Brand Awareness,Asia,45-54,Male,11188,478,4.274,803.04,1.68,71.78,36,7.7,2.41,190,9,12,1.886,2023,9,13,3,Wednesday,211,22.306666666666665,1,0
2023-06-13,CMP1165,TikTok,Banner,Brand Awareness,Oceania,35-44,Male,17231,270,1.571,537.3,1.99,31.18,3,1.37,2.49,401,24,17,2.565,2023,6,13,2,Tuesday,442,179.1,1,0
2024-07-12,CMP1558,YouTube,Story,App Installs,South America,45-54,Female,7636,289,3.796,641.58,2.22,84.02,11,3.82,0.25,185,40,9,3.064,2024,7,12,3,Friday,234,58.32545454545455,0,0
2023-07-13,CMP1194,Instagram,Image,App Installs,South America,35-44,Other,9597,46,0.487,66.24,1.44,6.9,3,7.96,0.83,261,20,28,3.22,2023,7,13,3,Thursday,309,22.08,0,0
2024-06-20,CMP1536,Twitter/X,Banner,Sales Conversion,Asia,18-24,Male,9918,112,1.137,154.56,1.38,15.58,8,7.97,0.53,222,44,15,2.833,2024,6,20,2,Thursday,281,19.32,0,0
2023-02-22,CMP1054,Twitter/X,Video,Lead Generation,Europe,35-44,Other,7294,116,1.592,74.24,0.64,10.18,2,2.31,0.13,333,21,23,5.169,2023,2,22,1,Wednesday,377,37.12,0,1
2023-02-20,CMP1050,YouTube,Video,Lead Generation,Asia,13-17,Other,14115,200,1.418,300.0,1.5,21.25,7,3.52,0.94,270,36,39,2.444,2023,2,20,1,Monday,345,42.857142857142854,0,0
2024-03-18,CMP1444,Facebook,Banner,Engagement,Oceania,13-17,Female,12838,406,3.166,730.8,1.8,56.92,11,2.89,2.65,147,12,5,1.277,2024,3,18,1,Monday,164,66.43636363636364,1,0
2023-03-25,CMP1086,LinkedIn,Video,Lead Generation,Europe,25-34,Other,16872,341,2.024,409.2,1.2,24.25,21,6.43,2.35,775,42,75,5.287,2023,3,25,1,Saturday,892,19.485714285714284,1,1
2023-02-04,CMP1035,Facebook,Video,App Installs,Africa,35-44,Other,8624,219,2.541,232.14,1.06,26.92,16,7.75,2.0,122,27,10,1.844,2023,2,4,1,Saturday,159,14.50875,1,0
2023-01-23,CMP1023,TikTok,Search,Lead Generation,Africa,13-17,Female,4617,143,3.115,303.16,2.12,65.66,9,6.52,2.87,169,24,13,4.462,2023,1,23,1,Monday,206,33.684444444444445,1,1
2023-09-10,CMP1256,LinkedIn,Banner,Lead Generation,South America,25-34,Female,16637,156,0.939,165.36,1.06,9.94,10,6.72,1.33,848,121,66,6.221,2023,9,10,3,Sunday,1035,16.536,0,1
2023-05-14,CMP1136,Instagram,Search,Sales Conversion,Europe,35-44,Other,5467,49,0.901,7.35,0.15,1.34,1,3.3,0.66,291,57,11,6.567,2023,5,14,2,Sunday,359,7.35,0,1
2023-01-11,CMP1011,Google Ads,Image,Sales Conversion,Africa,18-24,Other,14379,89,0.62,140.62,1.58,9.78,4,4.6,0.47,424,71,37,3.7,2023,1,11,1,Wednesday,532,35.155,0,0
2024-06-08,CMP1524,Facebook,Search,Lead Generation,North America,45-54,Other,15669,263,1.682,173.58,0.66,11.08,8,3.12,0.64,860,178,80,7.135,2024,6,8,2,Saturday,1118,21.6975,0,1
2023-04-23,CMP1114,Twitter/X,Image,Sales Conversion,Oceania,45-54,Other,13915,376,2.705,620.4,1.65,44.58,14,3.92,1.21,150,12,13,1.258,2023,4,23,2,Sunday,175,44.31428571428571,0,0
2024-08-03,CMP1580,Facebook,Search,Lead Generation,Africa,55+,Other,12695,503,3.968,125.75,0.25,9.91,7,1.58,0.54,715,161,99,7.68,2024,8,3,3,Saturday,975,17.964285714285715,0,1
2023-04-26,CMP1119,Google Ads,Video,Sales Conversion,Asia,45-54,Male,15265,484,3.171,125.84,0.26,8.24,5,1.11,1.87,256,38,12,2.005,2023,4,26,2,Wednesday,306,25.168,1,0
2023-05-10,CMP1130,LinkedIn,Video,App Installs,Oceania,45-54,Other,8883,345,3.891,748.65,2.17,84.28,9,2.82,1.45,152,32,17,2.263,2023,5,10,2,Wednesday,201,83.18333333333334,1,0
2024-04-21,CMP1480,Facebook,Carousel,Engagement,North America,18-24,Female,17045,493,2.894,428.91,0.87,25.16,12,2.61,1.36,211,15,26,1.478,2024,4,21,2,Sunday,252,35.7425,1,0
2023-03-12,CMP1071,LinkedIn,Image,Sales Conversion,Africa,25-34,Other,3514,102,2.931,54.06,0.53,15.38,0,0.61,2.28,177,14,21,6.033,2023,3,12,1,Sunday,212,0.0,1,1
2024-09-20,CMP1632,Instagram,Carousel,App Installs,Asia,18-24,Male,23682,1009,4.261,2229.89,2.21,94.16,45,4.47,-0.26,354,25,41,1.773,2024,9,20,3,Friday,420,49.55311111111111,0,0
2024-05-05,CMP1491,Instagram,Banner,Brand Awareness,South America,25-34,Male,10685,443,4.148,1063.2,2.4,99.5,6,1.54,-0.12,558,68,47,6.299,2024,5,5,2,Sunday,673,177.20000000000002,0,1
2024-04-10,CMP1467,Instagram,Video,Sales Conversion,Africa,35-44,Male,21481,446,2.08,1074.86,2.41,50.04,18,4.15,0.92,1264,96,128,6.927,2024,4,10,2,Wednesday,1488,59.71444444444444,0,1
2024-02-04,CMP1400,TikTok,Video,Engagement,Asia,45-54,Male,22789,298,1.311,265.22,0.89,11.64,2,0.91,2.83,921,52,119,4.792,2024,2,4,1,Sunday,1092,132.61,1,1
2024-01-26,CMP1392,TikTok,Story,Sales Conversion,Oceania,13-17,Male,12146,340,2.804,404.6,1.19,33.31,23,7.03,1.34,631,137,77,6.957,2024,1,26,1,Friday,845,17.59130434782609,0,1
2024-05-24,CMP1513,Instagram,Carousel,Lead Generation,North America,18-24,Female,15126,287,1.904,579.74,2.02,38.33,8,2.81,1.35,471,95,46,4.046,2024,5,24,2,Friday,612,72.4675,1,0
2023-10-02,CMP1275,Facebook,Story,App Installs,Europe,35-44,Female,3442,117,3.409,155.61,1.33,27.67,6,5.35,0.27,97,7,7,3.225,2023,10,2,4,Monday,111,25.935000000000002,0,0
2023-04-03,CMP1093,TikTok,Video,Engagement,Asia,18-24,Female,9656,336,3.49,194.88,0.58,20.18,25,7.56,1.46,508,60,35,6.245,2023,4,3,2,Monday,603,7.7951999999999995,1,1
2023-08-24,CMP1235,Twitter/X,Search,Sales Conversion,Asia,13-17,Male,21588,835,3.87,317.3,0.38,14.7,63,7.66,2.54,1124,144,94,6.309,2023,8,24,3,Thursday,1362,5.036507936507936,1,1
2023-12-01,CMP1334,YouTube,Carousel,Engagement,Asia,35-44,Other,17688,423,2.397,765.63,1.81,43.29,27,6.41,1.53,757,160,88,5.682,2023,12,1,4,Friday,1005,28.356666666666666,1,1
2024-07-27,CMP1573,Facebook,Story,Brand Awareness,Asia,35-44,Male,12786,462,3.614,559.02,1.21,43.72,21,4.69,0.68,615,64,22,5.483,2024,7,27,3,Saturday,701,26.619999999999997,0,1
2023-06-07,CMP1159,Google Ads,Video,Lead Generation,Asia,55+,Female,9439,80,0.853,196.8,2.46,20.85,2,2.88,1.63,222,49,14,3.019,2023,6,7,2,Wednesday,285,98.4,1,0
2024-04-30,CMP1489,Google Ads,Story,Lead Generation,Africa,45-54,Female,8097,119,1.478,284.41,2.39,35.13,5,4.64,1.46,246,39,36,3.964,2024,4,30,2,Tuesday,321,56.882000000000005,1,0
2023-08-22,CMP1236,LinkedIn,Video,Brand Awareness,Africa,13-17,Female,4194,181,4.322,117.65,0.65,28.05,10,5.91,1.65,92,19,7,2.814,2023,8,22,3,Tuesday,118,11.765,1,0
2024-10-05,CMP1643,Facebook,Video,Sales Conversion,North America,35-44,Other,11983,365,3.052,182.5,0.5,15.23,22,6.14,1.48,310,54,19,3.196,2024,10,5,4,Saturday,383,8.295454545454545,1,0
2024-05-09,CMP1495,Twitter/X,Story,Engagement,Oceania,35-44,Male,10865,267,2.465,352.44,1.32,32.44,9,3.63,1.29,185,45,18,2.283,2024,5,9,2,Thursday,248,39.16,0,0
2024-06-29,CMP1546,Google Ads,Search,Sales Conversion,Africa,45-54,Male,21008,678,3.228,1328.88,1.96,63.26,44,6.63,1.01,709,69,25,3.822,2024,6,29,2,Saturday,803,30.201818181818183,0,0
2023-10-11,CMP1283,Google Ads,Image,Sales Conversion,Asia,18-24,Female,11672,268,2.297,286.76,1.07,24.57,13,5.11,0.95,530,110,29,5.732,2023,10,11,4,Wednesday,669,22.058461538461536,0,1
2023-12-09,CMP1342,TikTok,Image,App Installs,Africa,13-17,Female,11881,321,2.703,80.25,0.25,6.75,20,6.36,0.37,570,99,40,5.968,2023,12,9,4,Saturday,709,4.0125,0,1
2023-01-15,CMP1015,TikTok,Story,Sales Conversion,Asia,55+,Female,7355,307,4.186,291.65,0.95,39.65,24,7.92,1.77,268,58,17,4.663,2023,1,15,1,Sunday,343,12.152083333333332,1,1
2024-01-09,CMP1376,Google Ads,Image,Sales Conversion,Europe,55+,Female,13932,250,1.797,505.0,2.02,36.25,16,6.7,0.42,732,180,74,7.077,2024,1,9,1,Tuesday,986,31.5625,0,1
2023-08-07,CMP1219,Facebook,Image,Engagement,North America,25-34,Male,3470,119,3.442,196.35,1.65,56.59,2,1.69,0.72,92,6,10,3.112,2023,8,7,3,Monday,108,98.175,0,0
2024-03-11,CMP1435,Instagram,Video,Brand Awareness,Asia,55+,Other,23988,785,3.276,502.4,0.64,20.94,38,4.92,1.71,799,164,57,4.252,2024,3,11,1,Monday,1020,13.221052631578948,1,0
2024-01-01,CMP1366,YouTube,Story,App Installs,Oceania,13-17,Male,19380,218,1.127,174.4,0.8,9.0,15,6.95,1.31,428,82,56,2.921,2024,1,1,1,Monday,566,11.626666666666667,0,0
2023-08-11,CMP1222,Facebook,Search,Sales Conversion,Africa,35-44,Female,3639,147,4.052,111.72,0.76,30.7,10,7.24,1.77,126,20,8,4.232,2023,8,11,3,Friday,154,11.172,1,0
2023-02-11,CMP1044,Twitter/X,Banner,Brand Awareness,Africa,25-34,Other,10419,335,3.22,278.05,0.83,26.69,16,5.03,-0.14,153,8,13,1.67,2023,2,11,1,Saturday,174,17.378125,0,0
2024-10-10,CMP1648,LinkedIn,Video,App Installs,South America,35-44,Other,6565,240,3.666,559.2,2.33,85.18,14,6.21,1.11,109,23,12,2.193,2024,10,10,4,Thursday,144,39.94285714285714,0,0
2024-08-28,CMP1608,YouTube,Carousel,Engagement,North America,45-54,Female,22558,155,0.69,124.0,0.8,5.5,9,6.28,2.88,391,29,24,1.968,2024,8,28,3,Wednesday,444,13.777777777777779,1,0
2023-04-09,CMP1101,Instagram,Search,Brand Awareness,Europe,25-34,Other,11087,541,4.884,660.02,1.22,59.53,5,1.07,-0.26,448,28,33,4.591,2023,4,9,2,Sunday,509,132.004,0,1
2023-04-11,CMP1102,Google Ads,Image,Lead Generation,Europe,13-17,Other,6244,98,1.574,240.1,2.45,38.45,5,5.36,2.73,263,14,39,5.061,2023,4,11,2,Tuesday,316,48.019999999999996,1,1
2024-03-22,CMP1448,Instagram,Story,App Installs,Africa,45-54,Female,9792,187,1.915,259.93,1.39,26.55,9,5.08,0.07,502,115,23,6.536,2024,3,22,1,Friday,640,28.88111111111111,0,1
2024-01-02,CMP1366,LinkedIn,Search,App Installs,Oceania,18-24,Other,15067,521,3.462,411.59,0.79,27.32,26,5.16,2.2,222,40,11,1.812,2024,1,2,1,Tuesday,273,15.830384615384615,1,0
2023-06-02,CMP1152,Twitter/X,Story,App Installs,Asia,35-44,Other,4045,191,4.741,347.62,1.82,85.94,14,7.46,2.53,100,23,3,3.115,2023,6,2,2,Friday,126,24.830000000000002,1,0
2024-07-26,CMP1575,Twitter/X,Video,Engagement,North America,18-24,Male,1947,22,1.162,15.62,0.71,8.02,0,2.38,1.23,65,5,6,3.903,2024,7,26,3,Friday,76,0.0,0,0
2024-08-22,CMP1600,Instagram,Banner,Brand Awareness,South America,45-54,Other,29244,1084,3.709,1268.28,1.17,43.37,17,1.61,1.84,1128,248,104,5.061,2024,8,22,3,Thursday,1480,74.60470588235295,1,1
2024-10-02,CMP1644,TikTok,Image,Brand Awareness,Oceania,13-17,Other,26429,515,1.949,236.9,0.46,8.96,3,0.72,-0.23,1539,152,181,7.083,2024,10,2,4,Wednesday,1872,78.96666666666667,0,1
2024-04-22,CMP1479,LinkedIn,Carousel,Sales Conversion,South America,13-17,Male,5017,51,1.028,68.34,1.34,13.62,2,4.05,1.91,128,7,14,2.97,2024,4,22,2,Monday,149,34.17,1,0
2023-07-18,CMP1201,Google Ads,Banner,Sales Conversion,Asia,45-54,Male,3814,44,1.154,58.52,1.33,15.34,2,5.81,2.22,191,41,25,6.738,2023,7,18,3,Tuesday,257,29.26,1,1
2024-11-03,CMP1674,YouTube,Image,App Installs,Oceania,35-44,Female,18071,193,1.073,287.57,1.49,15.91,8,4.25,1.56,487,102,28,3.414,2024,11,3,4,Sunday,617,35.94625,1,0
2024-01-19,CMP1383,Google Ads,Carousel,Lead Generation,Europe,35-44,Female,23752,395,1.665,387.1,0.98,16.3,3,0.86,-0.1,802,181,114,4.619,2024,1,19,1,Friday,1097,129.03333333333333,0,1
2023-07-19,CMP1203,Twitter/X,Carousel,App Installs,North America,35-44,Other,2977,42,1.44,37.38,0.89,12.56,3,7.92,0.34,149,10,10,5.677,2023,7,19,3,Wednesday,169,12.46,0,1
2023-12-22,CMP1356,LinkedIn,Video,App Installs,Asia,25-34,Female,11669,307,2.631,294.72,0.96,25.26,17,5.69,0.99,390,29,42,3.951,2023,12,22,4,Friday,461,17.336470588235297,0,0
2024-02-14,CMP1411,Facebook,Carousel,Sales Conversion,Europe,18-24,Female,7329,60,0.827,145.8,2.43,19.89,1,2.18,0.62,284,58,19,4.926,2024,2,14,1,Wednesday,361,145.8,0,1
2023-04-25,CMP1115,Facebook,Image,Sales Conversion,Asia,45-54,Other,10555,444,4.21,315.24,0.71,29.87,20,4.55,0.22,367,24,52,4.197,2023,4,25,2,Tuesday,443,15.762,0,0
2023-07-14,CMP1194,Twitter/X,Carousel,Brand Awareness,Asia,13-17,Other,9721,343,3.538,113.19,0.33,11.64,19,5.8,1.04,549,61,72,7.016,2023,7,14,3,Friday,682,5.957368421052632,0,1
2023-08-04,CMP1218,Instagram,Story,Brand Awareness,Oceania,45-54,Female,5124,112,2.187,120.96,1.08,23.61,6,5.52,0.1,287,61,21,7.201,2023,8,4,3,Friday,369,20.16,0,1
2024-11-29,CMP1701,Instagram,Video,Sales Conversion,Asia,13-17,Male,17844,470,2.634,648.6,1.38,36.35,4,0.91,2.78,1059,117,135,7.347,2024,11,29,4,Friday,1311,162.15,1,1
2023-05-29,CMP1149,Google Ads,Banner,Sales Conversion,Asia,45-54,Male,7533,114,1.521,67.26,0.59,8.93,3,2.87,-0.18,320,79,33,5.735,2023,5,29,2,Monday,432,22.42,0,1
2024-06-16,CMP1536,LinkedIn,Search,App Installs,Africa,55+,Male,4018,90,2.261,83.7,0.93,20.83,6,7.58,1.52,53,9,7,1.717,2024,6,16,2,Sunday,69,13.950000000000001,1,0
2023-02-01,CMP1035,Google Ads,Search,Lead Generation,North America,13-17,Male,8890,102,1.149,41.82,0.41,4.7,8,7.86,0.96,433,51,45,5.951,2023,2,1,1,Wednesday,529,5.2275,0,1
2023-12-04,CMP1337,TikTok,Video,Engagement,Africa,13-17,Other,21397,724,3.386,1592.8,2.2,74.44,15,2.21,1.56,859,93,127,5.043,2023,12,4,4,Monday,1079,106.18666666666667,1,1
2023-01-10,CMP1009,YouTube,Carousel,App Installs,Europe,25-34,Other,5981,229,3.833,302.28,1.32,50.54,10,4.67,2.07,128,31,18,2.959,2023,1,10,1,Tuesday,177,30.227999999999998,1,0
2023-03-08,CMP1069,TikTok,Carousel,Sales Conversion,South America,35-44,Other,7291,177,2.428,385.86,2.18,52.92,4,2.72,0.23,231,30,22,3.881,2023,3,8,1,Wednesday,283,96.465,0,0
2024-08-30,CMP1608,Facebook,Story,Engagement,South America,45-54,Male,17837,663,3.722,822.12,1.24,46.09,20,3.09,0.48,415,61,59,2.999,2024,8,30,3,Friday,535,41.106,0,0
2023-06-05,CMP1155,YouTube,Video,Lead Generation,Africa,13-17,Other,18996,475,2.504,565.25,1.19,29.76,20,4.37,0.66,986,152,94,6.486,2023,6,5,2,Monday,1232,28.2625,0,1
2024-05-03,CMP1491,LinkedIn,Story,Sales Conversion,North America,13-17,Female,10475,56,0.537,118.16,2.11,11.28,2,4.81,0.45,311,54,10,3.58,2024,5,3,2,Friday,375,59.08,0,0
2023-12-03,CMP1337,TikTok,Story,Sales Conversion,North America,25-34,Male,7630,187,2.458,106.59,0.57,13.97,8,4.5,0.72,251,27,21,3.919,2023,12,3,4,Sunday,299,13.32375,0,0
2024-05-13,CMP1498,Instagram,Search,Lead Generation,North America,18-24,Male,24549,490,1.998,573.3,1.17,23.35,33,6.76,1.45,497,112,19,2.558,2024,5,13,2,Monday,628,17.37272727272727,1,0
2023-12-02,CMP1337,Facebook,Banner,Sales Conversion,Europe,35-44,Female,15733,187,1.193,400.18,2.14,25.44,12,6.63,1.22,700,45,37,4.97,2023,12,2,4,Saturday,782,33.348333333333336,0,1
2024-08-24,CMP1601,Google Ads,Search,Brand Awareness,Oceania,13-17,Male,6126,210,3.443,132.3,0.63,21.6,2,1.14,0.45,96,5,12,1.845,2024,8,24,3,Saturday,113,66.15,0,0
2023-10-21,CMP1296,Google Ads,Image,Brand Awareness,Africa,13-17,Male,5984,287,4.799,109.06,0.38,18.23,6,2.27,0.85,332,81,13,7.119,2023,10,21,4,Saturday,426,18.176666666666666,0,1
2024-01-12,CMP1376,Twitter/X,Image,App Installs,South America,13-17,Male,11971,156,1.31,157.56,1.01,13.16,3,2.42,0.81,304,48,13,3.049,2024,1,12,1,Friday,365,52.52,0,0
2024-12-28,CMP1727,Facebook,Carousel,Brand Awareness,Asia,55+,Female,10577,198,1.88,235.62,1.19,22.28,2,1.48,1.3,225,11,21,2.43,2024,12,28,4,Saturday,257,117.81,0,0
2024-08-02,CMP1583,Facebook,Story,Lead Generation,North America,13-17,Female,2841,24,0.852,7.44,0.31,2.62,1,7.42,0.06,140,27,4,6.019,2024,8,2,3,Friday,171,7.44,0,1
2024-03-10,CMP1435,YouTube,Story,Brand Awareness,North America,55+,Other,16941,407,2.404,687.83,1.69,40.6,8,2.08,2.23,520,127,73,4.25,2024,3,10,1,Sunday,720,85.97875,1,0
2023-08-04,CMP1218,Google Ads,Carousel,App Installs,South America,25-34,Female,19670,122,0.621,47.58,0.39,2.42,2,2.02,-0.18,267,29,11,1.561,2023,8,4,3,Friday,307,23.79,0,0
2024-02-13,CMP1410,Facebook,Image,Engagement,Africa,18-24,Female,18869,276,1.465,582.36,2.11,30.86,7,2.54,2.35,275,20,21,1.675,2024,2,13,1,Tuesday,316,83.19428571428571,1,0
2024-07-17,CMP1563,Twitter/X,Story,App Installs,South America,55+,Male,3856,126,3.289,270.9,2.15,70.25,9,7.43,-0.22,80,4,3,2.256,2024,7,17,3,Wednesday,87,30.099999999999998,0,0
2024-03-13,CMP1437,TikTok,Carousel,Sales Conversion,South America,13-17,Female,2996,14,0.471,3.78,0.27,1.26,0,3.41,-0.1,177,36,14,7.577,2024,3,13,1,Wednesday,227,0.0,0,1
2023-02-10,CMP1042,LinkedIn,Carousel,Lead Generation,South America,25-34,Other,11772,438,3.729,692.04,1.58,27.67,7,1.75,2.33,541,36,46,5.292,2023,2,10,1,Friday,623,98.86285714285714,1,1
2023-03-04,CMP1063,TikTok,Story,Brand Awareness,South America,13-17,Male,13213,78,0.591,26.52,0.34,2.01,4,6.22,1.63,157,23,18,1.499,2023,3,4,1,Saturday,198,6.63,1,0
2024-09-02,CMP1611,Instagram,Video,Lead Generation,South America,25-34,Male,10504,402,3.836,349.74,0.87,33.3,11,2.75,1.02,499,26,16,5.15,2024,9,2,3,Monday,541,31.794545454545457,0,1
2023-09-06,CMP1248,Instagram,Video,Lead Generation,Oceania,55+,Other,22231,287,1.291,278.39,0.97,12.52,11,4.08,1.09,1260,244,50,6.99,2023,9,6,3,Wednesday,1554,25.30818181818182,0,1
2023-06-25,CMP1175,Twitter/X,Carousel,App Installs,South America,13-17,Other,16959,213,1.256,385.53,1.81,22.73,14,6.91,-0.22,649,37,26,4.198,2023,6,25,2,Sunday,712,27.537857142857142,0,0
2023-09-20,CMP1263,Instagram,Search,App Installs,Europe,25-34,Male,11889,458,3.856,714.48,1.56,60.1,35,7.7,0.94,268,64,33,3.07,2023,9,20,3,Wednesday,365,20.413714285714285,0,0
2023-09-14,CMP1256,Instagram,Search,Lead Generation,Africa,55+,Other,8593,189,2.202,79.38,0.42,9.24,14,7.7,-0.16,432,84,27,6.319,2023,9,14,3,Thursday,543,5.67,0,1
2024-09-16,CMP1627,Google Ads,Story,Lead Generation,Oceania,13-17,Male,2907,80,2.775,40.8,0.51,14.04,3,4.92,2.46,56,13,2,2.442,2024,9,16,3,Monday,71,13.6,1,0
2024-07-29,CMP1576,LinkedIn,Banner,Engagement,Asia,55+,Female,13437,549,4.087,1240.74,2.26,92.34,11,2.02,-0.03,372,22,50,3.304,2024,7,29,3,Monday,444,112.79454545454546,0,0
2024-06-25,CMP1545,Facebook,Search,Engagement,Europe,45-54,Male,13104,144,1.101,220.32,1.53,16.81,1,1.08,2.93,197,25,27,1.9,2024,6,25,2,Tuesday,249,220.32,1,0
2024-06-17,CMP1535,Facebook,Banner,Lead Generation,Oceania,45-54,Male,11503,447,3.894,299.49,0.67,26.04,12,2.74,2.68,118,24,16,1.374,2024,6,17,2,Monday,158,24.9575,1,0
2023-01-14,CMP1014,YouTube,Banner,Lead Generation,Asia,13-17,Male,22983,341,1.485,422.84,1.24,18.4,14,4.11,1.14,1306,249,138,7.366,2023,1,14,1,Saturday,1693,30.20285714285714,0,1
2024-04-20,CMP1476,Instagram,Search,Lead Generation,Europe,45-54,Male,4094,65,1.596,20.15,0.31,4.92,3,5.19,1.33,186,42,27,6.229,2024,4,20,2,Saturday,255,6.716666666666666,0,1
2024-09-23,CMP1633,TikTok,Story,App Installs,North America,13-17,Female,24350,388,1.594,624.68,1.61,25.65,30,7.97,2.65,731,167,62,3.943,2024,9,23,3,Monday,960,20.822666666666667,1,0
2023-03-17,CMP1077,TikTok,Image,Brand Awareness,Oceania,18-24,Other,16292,675,4.147,1437.75,2.13,88.25,45,6.67,0.46,243,59,15,1.946,2023,3,17,1,Friday,317,31.95,0,0
2024-09-20,CMP1630,LinkedIn,Story,App Installs,Africa,18-24,Male,13201,250,1.9,142.5,0.57,10.79,17,7.16,0.9,424,38,43,3.825,2024,9,20,3,Friday,505,8.382352941176471,0,0
2024-06-24,CMP1542,Facebook,Video,Engagement,Asia,45-54,Other,14278,134,0.944,192.96,1.44,13.51,6,4.77,1.08,632,121,58,5.68,2024,6,24,2,Monday,811,32.160000000000004,0,1
2024-07-18,CMP1565,Twitter/X,Story,Lead Generation,North America,25-34,Female,3192,66,2.091,96.36,1.46,30.19,0,0.98,2.85,84,17,8,3.415,2024,7,18,3,Thursday,109,0.0,1,0
2024-08-22,CMP1602,Google Ads,Video,Lead Generation,South America,45-54,Other,5319,240,4.525,504.0,2.1,94.75,5,2.19,2.7,251,29,30,5.828,2024,8,22,3,Thursday,310,100.8,1,1
2024-01-26,CMP1393,Instagram,Search,Lead Generation,Africa,18-24,Female,25397,214,0.844,194.74,0.91,7.67,6,3.07,1.19,412,35,40,1.918,2024,1,26,1,Friday,487,32.45666666666667,0,0
2024-01-30,CMP1395,TikTok,Search,Engagement,Oceania,25-34,Male,21945,511,2.333,316.82,0.62,14.44,40,7.88,0.21,876,101,40,4.634,2024,1,30,1,Tuesday,1017,7.9205,0,1
2024-05-07,CMP1496,Instagram,Banner,Lead Generation,Africa,13-17,Other,2862,53,1.88,130.91,2.47,45.74,2,3.78,0.01,131,30,14,6.115,2024,5,7,2,Tuesday,175,65.455,0,1
2023-02-07,CMP1041,Instagram,Banner,Sales Conversion,Africa,25-34,Female,12797,487,3.809,886.34,1.82,69.26,29,5.99,0.27,359,63,13,3.399,2023,2,7,1,Tuesday,435,30.56344827586207,0,0
